name,team,league,season,penalties_scored,penalties_taken
Clive Wilson,Tottenham,England,1996,1,2
David Unsworth,Everton,England,1996,2,3
Chris Sutton,Blackburn,England,1996,2,3
Graham Stuart,Everton,England,1996,1,2
Alan Shearer,Newcastle Utd,England,1996,3,4
Brian Deane,Leeds United,England,1996,0,1
Dwight Yorke,Aston Villa,England,1996,4,5
Paul Stewart,Sunderland,England,1996,1,2
Alex Rae,Sunderland,England,1996,1,2
Martin Scott,Sunderland,England,1996,1,1
Emerson,Middlesbrough,England,1996,1,2
Mark Pembridge,Sheffield Weds,England,1996,1,2
Stuart Pearce,Nott'ham Forest,England,1996,2,3
Garry Parker,Leicester City,England,1996,2,4
Paul Merson,Arsenal,England,1996,1,1
Julian Dicks,West Ham,England,1996,5,6
Matt Le Tissier,Southampton,England,1996,4,4
Gary McAllister,Coventry City,England,1996,3,3
Craig Hignett,Middlesbrough,England,1996,1,2
Vinnie Jones,Wimbledon,England,1996,0,1
Andrei Kanchelskis,Everton,England,1996,1,1
Frank Leboeuf,Chelsea,England,1996,3,4
Fabrizio Ravanelli,Middlesbrough,England,1996,3,4
Jim Magilton,Southampton,England,1996,2,3
Robbie Fowler,Liverpool,England,1996,2,3
Steve Agnew,Sunderland,England,1996,1,1
Dwight Yorke,Aston Villa,England,1997,2,3
Ian Wright,Arsenal,England,1997,1,1
Paulo Wanchope,Derby County,England,1997,1,2
Alan Thompson,Bolton,England,1997,3,3
Chris Sutton,Blackburn,England,1997,2,2
Dennis Wise,Chelsea,England,1997,1,1
Michael Owen,Liverpool,England,1997,2,3
David Platt,Arsenal,England,1997,2,2
Garry Parker,Leicester City,England,1997,3,3
Savo Milošević,Aston Villa,England,1997,1,1
Frank Leboeuf,Chelsea,England,1997,3,3
Teddy Sheringham,Manchester Utd,England,1997,0,3
Gianfranco Zola,Chelsea,England,1997,1,1
Neil Redfearn,Barnsley,England,1997,2,3
Denis Irwin,Manchester Utd,England,1997,2,2
Gus Poyet,Chelsea,England,1997,1,1
Jovo Bosančić,Barnsley,England,1997,1,2
Matt Le Tissier,Southampton,England,1997,4,4
Robbie Fowler,Liverpool,England,1997,2,2
Jimmy Floyd Hasselbaink,Leeds United,England,1997,1,2
Les Ferdinand,Tottenham,England,1997,0,1
Matt Elliott,Leicester City,England,1997,1,1
Nicky Butt,Manchester Utd,England,1997,1,1
David Ginola,Tottenham,England,1997,0,1
Stefano Eranio,Derby County,England,1997,4,4
Benito Carbone,Sheffield Weds,England,1997,3,3
Dennis Bergkamp,Arsenal,England,1997,2,3
John Barnes,Newcastle Utd,England,1997,1,2
Neal Ardley,Wimbledon,England,1997,1,1
John Hartson,West Ham,England,1997,1,1
Bruce Dyer,Crystal Palace,England,1997,1,2
David Hirst,Southampton,England,1997,1,1
Dion Dublin,Coventry City,England,1997,5,7
Graham Stuart,Charlton Ath,England,1998,1,1
Stefan Schnoor,Derby County,England,1998,1,2
Filippo Inzaghi,Juventus,Italy,1998,0,1
Francesco Totti,Roma,Italy,1998,3,4
Dwight Yorke,Manchester Utd,England,1998,0,1
Alan Thompson,Aston Villa,England,1998,0,1
Chris Sutton,Blackburn,England,1998,2,2
Giuseppe Signori,Bologna,Italy,1998,2,3
Álvaro Recoba,Venezia,Italy,1998,2,3
Marcelo Salas,Lazio,Italy,1998,2,3
Michael Owen,Liverpool,England,1998,1,1
Ronaldo,Inter,Italy,1998,7,8
Hamilton Ricard,Middlesbrough,England,1998,1,1
Jamie Redknapp,Liverpool,England,1998,2,2
Neil Redfearn,Charlton Ath,England,1998,0,1
Marcelo Otero,Vicenza,Italy,1998,1,2
Gianpietro Piovani,Piacenza,Italy,1998,1,2
Alan Shearer,Newcastle Utd,England,1998,6,7
Igor Simutenkov,Bologna,Italy,1998,0,1
Frank Leboeuf,Chelsea,England,1998,3,4
Julian Joachim,Aston Villa,England,1998,1,1
Roberto Muzzi,Cagliari,Italy,1998,2,4
Hidetoshi Nakata,Perugia,Italy,1998,4,5
Filippo Maniero,Venezia,Italy,1998,1,1
Vincenzo Montella,Sampdoria,Italy,1998,4,6
Siniša Mihajlović,Lazio,Italy,1998,1,1
Paul Merson,Aston Villa,England,1998,0,1
Clive Mendonca,Charlton Ath,England,1998,3,3
Gary McAllister,Coventry City,England,1998,2,2
Frank Lampard,West Ham,England,1998,1,1
Patrick M'Boma,Cagliari,Italy,1998,0,1
Pasquale Luiso,Vicenza,Italy,1998,1,1
Garry Parker,Leicester City,England,1998,1,1
Matt Le Tissier,Southampton,England,1998,1,1
Denis Irwin,Manchester Utd,England,1998,2,3
Igor Kolyvanov,Bologna,Italy,1998,1,1
Jeff Kenna,Blackburn,England,1998,0,1
Ariel Ortega,Sampdoria,Italy,1998,2,3
Allan Nielsen,Tottenham,England,1998,0,1
Francesco Palmieri,Sampdoria,Italy,1998,2,2
Paul Mortimer,Charlton Ath,England,1998,0,1
Stefan Schwoch,Venezia,Italy,1998,1,1
Carmine Esposito,Fiorentina,Italy,1998,1,1
Lee Hendrie,Aston Villa,England,1998,1,1
Luigi Di Biagio,Roma,Italy,1998,0,1
Rodolfo Giorgetti,Bari,Italy,1998,1,1
Maurizio Ganz,Milan,Italy,1998,1,1
Kevin Gallacher,Blackburn,England,1998,0,1
Salvatore Fresi,Salernitana,Italy,1998,1,1
Jimmy Floyd Hasselbaink,Leeds United,England,1998,1,1
Alessandro Del Piero,Juventus,Italy,1998,1,1
Ian Harte,Leeds United,England,1998,1,2
Edmundo,Fiorentina,Italy,1998,2,2
Tony Dorigo,Derby County,England,1998,1,1
Youri Djorkaeff,Inter,Italy,1998,5,6
Davide Dionigi,Piacenza,Italy,1998,2,3
Marco Di Vaio,Salernitana,Italy,1998,1,3
Arturo Di Napoli,Empoli,Italy,1998,4,4
Matt Elliott,Leicester City,England,1998,1,2
Simone Inzaghi,Piacenza,Italy,1998,8,9
Stefano Eranio,Derby County,England,1998,0,1
Zvonimir Boban,Milan,Italy,1998,1,1
Robbie Fowler,Liverpool,England,1998,4,4
Michael Hughes,Wimbledon,England,1998,1,1
Klas Ingesson,Bologna,Italy,1998,1,1
Rui Costa,Fiorentina,Italy,1998,4,5
Hernán Crespo,Parma,Italy,1998,1,2
John Collins,Everton,England,1998,0,1
Enrico Chiesa,Parma,Italy,1998,1,1
Steve Chettle,Nott'ham Forest,England,1998,2,2
Benito Carbone,Sheffield Weds,England,1998,1,2
Oliver Bierhoff,Milan,Italy,1998,2,3
Antonino Bernardini,Salernitana,Italy,1998,1,2
Simone Bonomi,Empoli,Italy,1998,1,1
Gabriel Batistuta,Fiorentina,Italy,1998,1,2
Demetrio Albertini,Milan,Italy,1998,2,2
Dennis Bergkamp,Arsenal,England,1998,2,4
Daniel Andersson,Bari,Italy,1998,3,3
Darren Anderton,Tottenham,England,1998,2,2
Márcio Amoroso,Udinese,Italy,1998,7,9
Ibrahima Bakayoko,Everton,England,1998,0,1
Michael Ball,Everton,England,1998,3,4
Francesco Baiano,Derby County,England,1998,2,2
Vincenzo Montella,Roma,Italy,1999,4,4
Michael Sanke,Rayo Vallecano,Spain,1999,1,1
Julio Salinas,Alavés,Spain,1999,3,4
Hasan Salihamidžić,Bayern Munich,Germany,1999,1,1
Altin Rraklli,Unterhaching,Germany,1999,4,6
Ronaldo,Inter,Italy,1999,2,2
Roger,Espanyol,Spain,1999,1,1
Iván Rocha,Numancia,Spain,1999,1,1
Djalminha,La Coruña,Spain,1999,2,3
Hamilton Ricard,Middlesbrough,England,1999,3,4
Jamie Redknapp,Liverpool,England,1999,1,1
Raúl,Real Madrid,Spain,1999,2,2
Olivier Rambo,Nancy,France,1999,1,1
Olivier Quint,Sedan,France,1999,2,2
Laurent Robert,Paris S-G,France,1999,1,1
Dion Dublin,Aston Villa,England,1999,1,2
Marco Ferrante,Torino,Italy,1999,8,8
Michael Preetz,Hertha BSC,Germany,1999,0,1
Paulo Rink,Leverkusen,Germany,1999,1,1
Kevin Phillips,Sunderland,England,1999,6,8
Vicente Tito,Numancia,Spain,1999,0,1
Alfonso Pérez,Betis,Spain,1999,3,3
Slađan Đukić,Troyes,France,1999,4,4
Gabriel Batistuta,Fiorentina,Italy,1999,0,1
John Eustace,Coventry City,England,1999,1,1
Diego Tristán,Mallorca,Spain,1999,3,4
Paul Scholes,Manchester Utd,England,1999,1,2
Stefan Schnoor,Derby County,England,1999,0,1
Michael Schjønberg,Kaiserslautern,Germany,1999,2,2
Roberto Muzzi,Udinese,Italy,1999,0,1
Hidetoshi Nakata,Perugia,Italy,1999,1,1
Dan Petersen,Bastia,France,1999,1,1
Frédéric Née,Bastia,France,1999,0,1
Pascal Nouma,Lens,France,1999,0,1
Fabián O'Neill,Cagliari,Italy,1999,1,1
Pedro Ojeda,Numancia,Spain,1999,1,2
José Oscar Flores,La Coruña,Spain,1999,1,1
Marc Overmars,Arsenal,England,1999,0,1
Michael Owen,Liverpool,England,1999,1,3
Michele Padovano,Metz,France,1999,2,2
Pauleta,La Coruña,Spain,1999,1,1
Juninho Paulista,Middlesbrough,England,1999,0,2
Shabani Nonda,Rennes,France,1999,0,1
Roberto Baronio,Reggina,Italy,1999,1,1
Stefan Beinlich,Leverkusen,Germany,1999,1,1
Salva Ballesta,Racing Sant,Spain,1999,11,12
Paolo Di Canio,West Ham,England,1999,2,2
Denílson,Betis,Spain,1999,1,1
Julio Dely Valdés,Oviedo,Spain,1999,1,3
Brian Deane,Middlesbrough,England,1999,1,1
Gilles De Bilde,Sheffield Weds,England,1999,2,3
Hernán Crespo,Parma,Italy,1999,5,6
Christian,Paris S-G,France,1999,1,3
Alessandro Del Piero,Juventus,Italy,1999,8,8
Oliver Bierhoff,Milan,Italy,1999,1,2
Francisco Castaño,Numancia,Spain,1999,2,2
Tony Cascarino,Nancy,France,1999,5,7
Benito Carbone,Aston Villa,England,1999,1,1
Hans-Jörg Butt,Hamburger SV,Germany,1999,9,9
Craig Burley,Derby County,England,1999,2,3
André Breitenreiter,Unterhaching,Germany,1999,1,1
Zvonimir Boban,Milan,Italy,1999,2,2
Catanha,Málaga,Spain,1999,3,3
Teddy Bertin,Strasbourg,France,1999,1,2
Christian Ziege,Middlesbrough,England,1999,1,1
Arturo Di Napoli,Piacenza,Italy,1999,3,6
Bernard Diomède,Auxerre,France,1999,1,1
Paulo Bento,Oviedo,Spain,1999,1,1
Davide Dionigi,Piacenza,Italy,1999,1,1
Michael Ballack,Leverkusen,Germany,1999,0,1
Michael Ball,Everton,England,1999,1,1
Krasimir Balakov,Stuttgart,Germany,1999,2,3
Ibrahima Bakayoko,Marseille,France,1999,1,1
Roberto Baggio,Inter,Italy,1999,1,1
Darren Anderton,Tottenham,England,1999,1,1
Daniel Andersson,Bari,Italy,1999,3,3
Sonny Anderson,Lyon,France,1999,3,4
Nicola Amoruso,Perugia,Italy,1999,2,3
Constantin Barbu,Numancia,Spain,1999,1,1
José Amavisca,Racing Sant,Spain,1999,1,1
Hervé Alicarte,Bordeaux,France,1999,2,2
Charles Akonnor,Wolfsburg,Germany,1999,1,1
Aílton,Werder Bremen,Germany,1999,1,1
Jan Åge Fjørtoft,Eint Frankfurt,Germany,1999,1,1
Adaílton,Hellas Verona,Italy,1999,2,2
Youri Djorkaeff,Kaiserslautern,Germany,1999,3,5
Peter Beagrie,Bradford City,England,1999,5,5
Neal Ardley,Wimbledon,England,1999,1,1
Patrik Berger,Liverpool,England,1999,1,1
Aloísio,Saint-Étienne,France,1999,1,1
Michael Zeyer,MSV Duisburg,Germany,1999,3,3
Meho Kodro,Alavés,Spain,1999,2,3
Sylvain Wiltord,Bordeaux,France,1999,1,2
Paul Merson,Aston Villa,England,1999,0,1
Frédéric Meyrieu,Metz,France,1999,2,3
Valeri Karpin,Celta Vigo,Spain,1999,2,3
Siniša Mihajlović,Lazio,Italy,1999,4,5
Cristiano Lucarelli,Lecce,Italy,1999,3,3
Nwankwo Kanu,Arsenal,England,1999,1,1
Stéphane Grégoire,Rennes,France,1999,0,1
Wim Jonk,Sheffield Weds,England,1999,1,1
Santiago Ezquerro,Athletic Club,Spain,1999,1,2
Rodrigo Fabri,Valladolid,Spain,1999,2,2
Javier Farinós,Valencia,Spain,1999,2,2
Luís Figo,Barcelona,Spain,1999,1,2
Stefano Fiore,Udinese,Italy,1999,1,2
Jimmy Floyd Hasselbaink,Atlético Madrid,Spain,1999,4,6
Constantin Gâlcă,Espanyol,Spain,1999,4,4
Maurizio Ganz,Venezia,Italy,1999,2,2
Ander Garitano,Zaragoza,Spain,1999,2,2
Paul Gascoigne,Middlesbrough,England,1999,1,1
Finidi George,Betis,Spain,1999,1,2
Gaizka Mendieta,Valencia,Spain,1999,6,7
Silvio Meißner,Arminia,Germany,1999,1,1
Gary McAllister,Coventry City,England,1999,4,4
Toifilou Maoulida,Montpellier,France,1999,1,1
Andreas Zeyer,Freiburg,Germany,1999,1,1
Peter Kennedy,Watford,England,1999,1,1
Carlos Llorens,Rayo Vallecano,Spain,1999,1,1
Frank Leboeuf,Chelsea,England,1999,1,1
Matt Le Tissier,Southampton,England,1999,1,1
Aitor Larrazábal,Athletic Club,Spain,1999,4,4
Timo Lange,Hansa Rostock,Germany,1999,2,2
Niko Kovač,Hamburger SV,Germany,1999,1,1
Marijan Kovačević,MSV Duisburg,Germany,1999,2,2
Ludovic Giuly,Monaco,France,1999,1,1
Patrick Kluivert,Barcelona,Spain,1999,2,2
Harry Kewell,Leeds United,England,1999,0,1
Bruno Labbadia,Arminia,Germany,1999,0,1
Patrice Loko,Montpellier,France,1999,1,3
José María Movilla,Málaga,Spain,1999,1,2
Enrique de Lucas,Espanyol,Spain,1999,2,2
Patrick M'Boma,Cagliari,Italy,1999,3,4
Mickaël Madar,Paris S-G,France,1999,2,2
Yuriy Maksymov,Werder Bremen,Germany,1999,1,1
Filippo Maniero,Venezia,Italy,1999,0,1
Ulf Kirsten,Leverkusen,Germany,1999,2,2
Janusz Góra,Ulm,Germany,1999,1,1
Martin Max,1860 Munich,Germany,1999,1,1
Frank Greiner,Wolfsburg,Germany,1999,0,1
Alan Shearer,Newcastle Utd,England,1999,5,5
Andriy Shevchenko,Milan,Italy,1999,8,9
Antoine Sibierski,Nantes,France,1999,1,1
Giuseppe Signori,Bologna,Italy,1999,1,1
Nolberto Solano,Newcastle Utd,England,1999,1,1
Gareth Southgate,Aston Villa,England,1999,1,1
Jovan Stanković,Mallorca,Spain,1999,2,2
Thomas Stratos,Arminia,Germany,1999,3,3
Francesco Totti,Roma,Italy,1999,4,4
Mehmet Scholl,Bayern Munich,Germany,1999,1,1
David Trezeguet,Monaco,France,1999,1,2
Vasilios Tsiartas,Sevilla,Spain,1999,4,5
David Unsworth,Everton,England,1999,5,6
Víctor,Valladolid,Spain,1999,1,1
Christian Vieri,Inter,Italy,1999,0,1
Nicolas Weber,Le Havre,France,1999,0,1
Peter Wibrån,Hansa Rostock,Germany,1999,2,2
Savo Milošević,Zaragoza,Spain,1999,2,2
Marc Wilmots,Schalke 04,Germany,1999,3,5
David Sesa,Lecce,Italy,1999,2,2
Paulo Sérgio,Bayern Munich,Germany,1999,3,4
Davor Šuker,Arsenal,England,1999,0,1
Filippo Inzaghi,Juventus,Italy,1999,1,1
Adel Sellimi,Freiburg,Germany,1999,4,7
Richard Johnson,Watford,England,1999,1,1
Muzzy Izzet,Leicester City,England,1999,3,3
Valérien Ismaël,Lens,France,1999,1,2
Denis Irwin,Manchester Utd,England,1999,2,3
Simone Inzaghi,Lazio,Italy,1999,2,2
Mohamed Kallon,Reggina,Italy,1999,4,4
Aleksandre Iashvili,Freiburg,Germany,1999,0,1
Stéphane Guivarc'h,Auxerre,France,1999,2,3
Andreas Herzog,Werder Bremen,Germany,1999,3,3
Horst Heldt,Eint Frankfurt,Germany,1999,3,3
Thomas Häßler,1860 Munich,Germany,1999,4,5
Ian Harte,Leeds United,England,1999,4,5
Hans van de Haar,Ulm,Germany,1999,1,1
Fernando Hierro,Real Madrid,Spain,1999,2,2
Andreas Möller,Dortmund,Germany,1999,2,2
Paolo Poggi,Udinese,Italy,1999,1,1
Javi Moreno,Alavés,Spain,1999,1,1
Juan Sebastián Verón,Lazio,Italy,1999,2,2
Thierry Henry,Arsenal,England,1999,2,2
Tchiressoua Guel,Saint-Étienne,France,1999,1,1
Nelson Vivas,Arsenal,England,2000,0,1
Davor Vugrinec,Lecce,Italy,2000,3,3
George Weah,Marseille,France,2000,0,1
Peter Wibrån,Hansa Rostock,Germany,2000,0,1
Álvaro Recoba,Inter,Italy,2000,1,1
Zlatko Zahovič,Valencia,Spain,2000,1,1
Christian Vieri,Inter,Italy,2000,5,5
Stéphane Ziani,Nantes,France,2000,1,2
Zinédine Zidane,Juventus,Italy,2000,1,2
Francisco Yeste,Athletic Club,Spain,2000,0,1
Giuseppe Signori,Bologna,Italy,2000,2,3
Gionatha Spinesi,Bari,Italy,2000,1,1
Diego Tristán,La Coruña,Spain,2000,2,2
René Tretschok,Hertha BSC,Germany,2000,2,2
Francesco Totti,Roma,Italy,2000,4,4
Luca Toni,Vicenza,Italy,2000,1,1
Đorđe Tomić,Oviedo,Spain,2000,2,2
Branko Strupar,Derby County,England,2000,1,1
Marcus Stewart,Ipswich Town,England,2000,2,2
Miroslav Stević,Dortmund,Germany,2000,2,3
David Unsworth,Everton,England,2000,3,4
Slađan Đukić,Troyes,France,2000,2,2
Víctor,Villarreal,Spain,2000,2,2
Nolberto Solano,Newcastle Utd,England,2000,2,3
Paul Scholes,Manchester Utd,England,2000,0,1
Laurențiu Reghecampf,Energie Cottbus,Germany,2000,0,1
Paulo Rink,Leverkusen,Germany,2000,1,1
Alan Shearer,Newcastle Utd,England,2000,2,3
Adel Sellimi,Freiburg,Germany,2000,1,1
Mehmet Scholl,Bayern Munich,Germany,2000,3,3
Robbie Savage,Leicester City,England,2000,1,1
Víctor Sánchez,La Coruña,Spain,2000,1,2
Juan Sánchez,Valencia,Spain,2000,0,1
Jesús Sánchez,Valladolid,Spain,2000,1,1
Christophe Sanchez,Saint-Étienne,France,2000,1,1
Andriy Shevchenko,Milan,Italy,2000,6,6
Antoine Sibierski,Lens,France,2000,0,1
Hasan Salihamidžić,Bayern Munich,Germany,2000,0,1
René Rydlewicz,Hansa Rostock,Germany,2000,2,2
Francisco Rufete,Málaga,Spain,2000,1,1
Iván Rosado,Osasuna,Spain,2000,1,2
Bruno Rodriguez,Guingamp,France,2000,5,6
Laurent Robert,Paris S-G,France,2000,2,2
Rivaldo,Barcelona,Spain,2000,5,6
Ulf Kirsten,Leverkusen,Germany,2000,3,4
Julio Ricardo Cruz,Bologna,Italy,2000,2,2
Hamilton Ricard,Middlesbrough,England,2000,1,1
Marcelo Salas,Lazio,Italy,2000,1,1
Sabino,Osasuna,Spain,2000,1,1
Raúl,Real Madrid,Spain,2000,0,1
Massimo Oddo,Hellas Verona,Italy,2000,4,4
Cédric Mionnet,Sedan,France,2000,1,1
Claudio Pizarro,Werder Bremen,Germany,2000,2,2
Andrea Pirlo,Brescia,Italy,2000,0,1
Kevin Phillips,Sunderland,England,2000,2,4
Vladimir Petrović,Toulouse,France,2000,1,1
Caco Morán,Numancia,Spain,2000,2,2
Pauleta,Bordeaux,France,2000,2,3
Óscar de Paula,Real Sociedad,Spain,2000,1,1
Marcelinho Paraíba,Marseille,France,2000,0,1
Souleymane Oulare,Las Palmas,Spain,2000,1,1
Javier de Pedro,Real Sociedad,Spain,2000,1,1
Paolo Poggi,Bari,Italy,2000,1,1
Tomás Olías,Las Palmas,Spain,2000,1,1
Edvin Murati,Lille,France,2000,0,1
Adrian Mutu,Hellas Verona,Italy,2000,0,1
Txomin Nagore,Numancia,Spain,2000,1,1
Aleksandr Mostovoi,Celta Vigo,Spain,2000,2,2
Fernando Niño,Mallorca,Spain,2000,0,1
Jay-Jay Okocha,Paris S-G,France,2000,1,1
Oli,Oviedo,Spain,2000,0,2
Rubén Navarro,Numancia,Spain,2000,1,1
Pablo Sanz Iniesta,Rayo Vallecano,Spain,2000,1,1
Teddy Sheringham,Manchester Utd,England,2000,1,1
José Oscar Flores,La Coruña,Spain,2000,0,1
Vasile Miriuță,Energie Cottbus,Germany,2000,2,3
Olivier Quint,Sedan,France,2000,3,3
Siniša Mihajlović,Lazio,Italy,2000,2,3
Serhiy Rebrov,Tottenham,England,2000,1,1
Frédéric Meyrieu,Metz,France,2000,1,3
Gaizka Mendieta,Valencia,Spain,2000,5,6
Florian Maurice,Marseille,France,2000,1,1
Marco Materazzi,Perugia,Italy,2000,7,8
Marijo Marić,Bochum,Germany,2000,4,4
José María Movilla,Málaga,Spain,2000,2,2
Jim Magilton,Ipswich Town,England,2000,1,1
Andreas Möller,Schalke 04,Germany,2000,0,1
Michael Madsen,Bari,Italy,2000,0,2
Javi Moreno,Alavés,Spain,2000,7,8
Albert Luque,Mallorca,Spain,2000,0,1
